#{"t_start": 1713723644.7927923, "env_id": "None"}
r,l,t
36.0,10001,333.142351
30.0,10001,333.142351
22.0,10001,333.142351
26.0,10001,333.142851
28.0,10001,333.142851
22.0,10001,333.142851
38.0,10001,333.142851
24.0,10001,333.142851
30.0,10001,333.142851
28.0,10001,333.142851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
34.0,10001,675.323851
26.0,10001,1044.065149
32.0,10001,1044.067149
26.0,10001,1044.067149
40.0,10001,1044.067649
28.0,10001,1044.067649
32.0,10001,1044.067649
32.0,10001,1044.067649
26.0,10001,1044.067649
34.0,10001,1044.067649
34.0,10001,1044.067649
34.0,10001,1414.258649
36.0,10001,1414.258649
34.0,10001,1414.258649
32.0,10001,1414.258649
34.0,10001,1414.258649
34.0,10001,1414.258649
34.0,10001,1414.258649
32.0,10001,1414.258649
34.0,10001,1414.258649
34.0,10001,1414.258649
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
28.0,10001,1784.276184
24.0,10001,1784.276184
28.0,10001,1784.276184
26.0,10001,2152.232184
24.0,10001,2152.232184
24.0,10001,2152.232184
26.0,10001,2152.232184
28.0,10001,2152.232184
26.0,10001,2152.232184
26.0,10001,2152.232184
26.0,10001,2152.232184
24.0,10001,2152.232184
26.0,10001,2152.232184
